,Stage,diversity,correlation,p_value,adj_p_value
1,0,Richness,-0.0158518403652397,0.83459,0.83459
2,0,Chao1,-0.280024308731668,0.00017,0.00057
3,0,Shannon,-0.13517987220637,0.07365,0.11389
4,0,Clonality,0.182739137646951,0.0152,0.0304
5,0,Simpson,0.132446270703204,0.07972,0.11389
6,4,Richness,0.0356607006823801,0.53229,0.59143
7,4,Chao1,-0.188321935292642,0.00088,0.0022
8,4,Shannon,-0.0527340733683487,0.35556,0.44445
9,4,Clonality,0.270332980236697,0,0
10,4,Simpson,0.214785480838739,0.00014,0.00057
